iter	RMSE
650	22987.68925
651	22980.28151
652	22957.15465
653	22943.89924
654	22931.02897
655	22912.61166
656	22876.7436
657	22846.03874
658	22826.91311
659	22816.14424
660	22800.97131
661	22773.38866
662	22759.95947
663	22741.05382
664	22725.93553
665	22704.98467
666	22689.51384
667	22670.6868
668	22665.15007
669	22653.27696
670	22643.32927
671	22632.73041
672	22620.87056
673	22605.98853
674	22597.80867
675	22587.95629
676	22574.19252
677	22560.48277
678	22545.6922
679	22527.08508
680	22515.57821
681	22508.86429
682	22504.41492
683	22487.82645
684	22474.1129
685	22457.41943
686	22442.27863
687	22431.90882
688	22418.75144
689	22395.14919
690	22386.45831
691	22377.04277
692	22366.1047
693	22352.65235
694	22347.61136
695	22333.95138
696	22319.54205
697	22294.65701
698	22278.08689
699	22266.57027
700	22240.94492
701	22224.79201
702	22208.01312
703	22202.42295
704	22189.26301
705	22170.26865
706	22158.49039
707	22147.95702
708	22140.12582
709	22115.68153
710	22095.85512
711	22084.01435
712	22068.62106
713	22056.42158
714	22041.41663
715	22024.91732
716	22016.97606
717	21998.36013
718	21977.5382
719	21960.40766
720	21950.25521
721	21940.65065
722	21937.10666
723	21920.33154
724	21915.33481
725	21904.80258
726	21880.56939
727	21863.47955
728	21850.3451
729	21831.7303
730	21822.43993
731	21814.37526
732	21805.75084
733	21797.2698
734	21783.92276
735	21768.65446
736	21748.92281
737	21736.92991
738	21728.45353
739	21711.7096
740	21697.12524
741	21677.68105
742	21667.61588
743	21653.43867
744	21629.61927
745	21615.95136
746	21600.34416
747	21589.4395
748	21582.53793
749	21573.47954
750	21560.62668
751	21545.61665
752	21533.15684
753	21523.11993
754	21514.61717
755	21505.13509
756	21485.44626
757	21478.05133
758	21471.4321
759	21457.62325
760	21440.80289
761	21423.15071
762	21405.84546
763	21394.49364
764	21369.94324
765	21359.43432
766	21349.55886
767	21343.0902
768	21332.81894
769	21320.54112
770	21309.01088
771	21295.72505
772	21285.33353
773	21271.2555
774	21255.31398
775	21244.82988
776	21225.38929
777	21203.59996
778	21196.51832
779	21189.92579
780	21180.3916
781	21161.79474
782	21146.78785
783	21137.21844
784	21124.51434
785	21110.71106
786	21101.49871
787	21084.33788
788	21075.51269
789	21064.68622
790	21052.14933
791	21044.40713
792	21027.58892
793	21021.44899
794	21012.74355
795	20989.26533
796	20978.22404
797	20968.78602
798	20963.33582
799	20953.80339
800	20945.47007
801	20935.43818
802	20922.27865
803	20906.86025
804	20880.74483
805	20871.08737
806	20864.6458
807	20854.1298
808	20838.32178
809	20827.04264
810	20813.85013
811	20805.00939
812	20785.73668
813	20772.37954
814	20761.21374
815	20745.70458
816	20733.82195
817	20710.56467
818	20703.90822
819	20698.9057
820	20687.54501
821	20669.14786
822	20652.74432
823	20636.59393
824	20620.70122
825	20610.27688
826	20603.53281
827	20590.92013
828	20577.5744
829	20559.43347
830	20554.14145
831	20541.55265
832	20530.63498
833	20514.02772
834	20500.1269
835	20484.43162
836	20476.71607
837	20469.27293
838	20451.1963
839	20439.82484
840	20429.5606
841	20410.89408
842	20404.09132
843	20392.591
844	20380.17115
845	20370.62703
846	20363.18293
847	20347.17982
848	20341.7594
849	20330.4696
850	20314.08404
851	20303.86093
852	20297.70388
853	20286.3419
854	20278.30663
855	20267.83805
856	20242.30962
857	20235.01062
858	20227.98566
859	20216.61051
860	20206.58572
861	20190.11167
862	20179.18706
863	20171.033
864	20159.43349
865	20144.45708
866	20138.07134
867	20119.75914
868	20104.06339
869	20095.68067
870	20080.16441
871	20073.95446
872	20065.41666
873	20056.41692
874	20048.81631
875	20036.91551
876	20022.20235
877	19999.53756
878	19992.22804
879	19985.07268
880	19979.73495
881	19971.98259
882	19965.05396
883	19951.05875
884	19943.45697
885	19934.03102
886	19928.25452
887	19915.04227
888	19907.40037
889	19893.03578
890	19877.41768
891	19868.36163
892	19851.37647
893	19832.79952
894	19818.86116
895	19810.07868
896	19801.26777
897	19785.4509
898	19776.49008
899	19759.95568
900	19743.42769
901	19731.58021
902	19726.00568
903	19710.1035
904	19700.28261
905	19686.31855
906	19674.65339
907	19666.16354
908	19650.01937
909	19635.40229
910	19618.01423
911	19608.47078
912	19594.55107
913	19579.76837
914	19573.00668
915	19564.0274
916	19557.51072
917	19534.62178
918	19525.78391
919	19516.53715
920	19505.38849
921	19496.562
922	19487.34522
923	19477.47714
924	19458.82511
925	19446.50109
926	19434.85661
927	19425.45105
928	19418.32546
929	19406.63215
930	19398.05486
931	19379.44958
932	19367.90993
933	19362.00283
934	19355.34317
935	19338.61703
936	19330.32738
937	19313.41429
938	19296.56851
939	19286.29758
940	19278.39744
941	19272.20934
942	19266.17918
943	19254.3874
944	19240.64533
945	19231.87893
946	19214.54832
947	19204.97395
948	19196.59535
949	19183.63489
950	19175.30644
951	19170.39667
952	19166.61379
953	19149.24134
954	19135.73225
955	19114.68971
956	19101.88437
957	19092.35352
958	19088.57482
959	19083.40686
